"entidad","nom_abr","cve_ent","municipio","cve_mun"
"Aguascalientes","Ags.",1,"Aguascalientes","1_1"
"Aguascalientes","Ags.",1,"Asientos","1_2"
"Aguascalientes","Ags.",1,"Calvillo","1_3"
"Aguascalientes","Ags.",1,"Cosío","1_4"
"Aguascalientes","Ags.",1,"Jesús María","1_5"
"Aguascalientes","Ags.",1,"Pabellón de Arteaga","1_6"
"Aguascalientes","Ags.",1,"Rincón de Romos","1_7"
"Aguascalientes","Ags.",1,"San José de Gracia","1_8"
"Aguascalientes","Ags.",1,"Tepezalá","1_9"
"Aguascalientes","Ags.",1,"El Llano","1_10"
"Aguascalientes","Ags.",1,"San Francisco de los Romo","1_11"
"Baja California","BC",2,"Ensenada","2_1"
"Baja California","BC",2,"Mexicali","2_2"
"Baja California","BC",2,"Tecate","2_3"
"Baja California","BC",2,"Tijuana","2_4"
"Baja California","BC",2,"Playas de Rosarito","2_5"
"Baja California","BC",2,"San Quintín","2_6"
"Baja California Sur","BCS",3,"Comondú","3_1"
"Baja California Sur","BCS",3,"Mulegé","3_2"
"Baja California Sur","BCS",3,"La Paz","3_3"
"Baja California Sur","BCS",3,"Los Cabos","3_8"
"Baja California Sur","BCS",3,"Loreto","3_9"
"Campeche","Camp.",4,"Calkiní","4_1"
"Campeche","Camp.",4,"Campeche","4_2"
"Campeche","Camp.",4,"Carmen","4_3"
"Campeche","Camp.",4,"Champotón","4_4"
"Campeche","Camp.",4,"Hecelchakán","4_5"
"Campeche","Camp.",4,"Hopelchén","4_6"
"Campeche","Camp.",4,"Palizada","4_7"
"Campeche","Camp.",4,"Tenabo","4_8"
"Campeche","Camp.",4,"Escárcega","4_9"
"Campeche","Camp.",4,"Calakmul","4_10"
"Campeche","Camp.",4,"Candelaria","4_11"
"Campeche","Camp.",4,"Seybaplaya","4_12"
"Coahuila de Zaragoza","Coah.",5,"Abasolo","5_1"
"Coahuila de Zaragoza","Coah.",5,"Acuña","5_2"
"Coahuila de Zaragoza","Coah.",5,"Allende","5_3"
"Coahuila de Zaragoza","Coah.",5,"Arteaga","5_4"
"Coahuila de Zaragoza","Coah.",5,"Candela","5_5"
"Coahuila de Zaragoza","Coah.",5,"Castaños","5_6"
"Coahuila de Zaragoza","Coah.",5,"Cuatro Ciénegas","5_7"
"Coahuila de Zaragoza","Coah.",5,"Escobedo","5_8"
"Coahuila de Zaragoza","Coah.",5,"Francisco I. Madero","5_9"
"Coahuila de Zaragoza","Coah.",5,"Frontera","5_10"
"Coahuila de Zaragoza","Coah.",5,"General Cepeda","5_11"
"Coahuila de Zaragoza","Coah.",5,"Guerrero","5_12"
"Coahuila de Zaragoza","Coah.",5,"Hidalgo","5_13"
"Coahuila de Zaragoza","Coah.",5,"Jiménez","5_14"
"Coahuila de Zaragoza","Coah.",5,"Juárez","5_15"
"Coahuila de Zaragoza","Coah.",5,"Lamadrid","5_16"
"Coahuila de Zaragoza","Coah.",5,"Matamoros","5_17"
"Coahuila de Zaragoza","Coah.",5,"Monclova","5_18"
"Coahuila de Zaragoza","Coah.",5,"Morelos","5_19"
"Coahuila de Zaragoza","Coah.",5,"Múzquiz","5_20"
"Coahuila de Zaragoza","Coah.",5,"Nadadores","5_21"
"Coahuila de Zaragoza","Coah.",5,"Nava","5_22"
"Coahuila de Zaragoza","Coah.",5,"Ocampo","5_23"
"Coahuila de Zaragoza","Coah.",5,"Parras","5_24"
"Coahuila de Zaragoza","Coah.",5,"Piedras Negras","5_25"
"Coahuila de Zaragoza","Coah.",5,"Progreso","5_26"
"Coahuila de Zaragoza","Coah.",5,"Ramos Arizpe","5_27"
"Coahuila de Zaragoza","Coah.",5,"Sabinas","5_28"
"Coahuila de Zaragoza","Coah.",5,"Sacramento","5_29"
"Coahuila de Zaragoza","Coah.",5,"Saltillo","5_30"
