"entidad","nom_abr","cve_ent","nombres_alternativos"
"Aguascalientes","Ags.",1,"Aguascalientes"
"Baja California","BC",2,"Baja California"
"Baja California Sur","BCS",3,"Baja California Sur"
"Campeche","Camp.",4,"Campeche"
"Chiapas","Chis.",7,"Chiapas"
"Chihuahua","Chih.",8,"Chihuahua"
"Ciudad de México","CDMX",9,"Ciudad de México"
"Coahuila de Zaragoza","Coah.",5,"Coahuila de Zaragoza"
"Colima","Col.",6,"Colima"
"Durango","Dgo.",10,"Durango"
"Guanajuato","Gto.",11,"Guanajuato"
"Guerrero","Gro.",12,"Guerrero"
"Hidalgo","Hgo.",13,"Hidalgo"
"Jalisco","Jal.",14,"Jalisco"
"México","Mex.",15,"México"
"Michoacán de Ocampo","Mich.",16,"Michoacán de Ocampo"
"Morelos","Mor.",17,"Morelos"
"Nayarit","Nay.",18,"Nayarit"
"Nuevo León","NL",19,"Nuevo León"
"Oaxaca","Oax.",20,"Oaxaca"
"Puebla","Pue.",21,"Puebla"
"Querétaro","Qro.",22,"Querétaro"
"Quintana Roo","Q. Roo",23,"Quintana Roo"
"San Luis Potosí","SLP",24,"San Luis Potosí"
"Sinaloa","Sin.",25,"Sinaloa"
"Sonora","Son.",26,"Sonora"
"Tabasco","Tab.",27,"Tabasco"
"Tamaulipas","Tamps.",28,"Tamaulipas"
"Tlaxcala","Tlax.",29,"Tlaxcala"
"Veracruz de Ignacio de la Llave","Ver.",30,"Veracruz de Ignacio de la Llave"
"Yucatán","Yuc.",31,"Yucatán"
"Zacatecas","Zac.",32,"Zacatecas"
