,Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,clave
0,10010001,1,Aguascalientes,Ags.,1,Aguascalientes,1_1
727,10020001,1,Aguascalientes,Ags.,2,Asientos,1_2
969,10030001,1,Aguascalientes,Ags.,3,Calvillo,1_3
1263,10040001,1,Aguascalientes,Ags.,4,Cosío,1_4
1357,10050001,1,Aguascalientes,Ags.,5,Jesús María,1_5
1670,10060001,1,Aguascalientes,Ags.,6,Pabellón de Arteaga,1_6
1947,10070001,1,Aguascalientes,Ags.,7,Rincón de Romos,1_7
2291,10080001,1,Aguascalientes,Ags.,8,San José de Gracia,1_8
2416,10090001,1,Aguascalientes,Ags.,9,Tepezalá,1_9
2562,10100001,1,Aguascalientes,Ags.,10,El Llano,1_10
2794,10110001,1,Aguascalientes,Ags.,11,San Francisco de los Romo,1_11
2920,20010001,2,Baja California,BC,1,Ensenada,2_1
5519,20020001,2,Baja California,BC,2,Mexicali,2_2
7969,20030001,2,Baja California,BC,3,Tecate,2_3
8937,20040001,2,Baja California,BC,4,Tijuana,2_4
9585,20050001,2,Baja California,BC,5,Playas de Rosarito,2_5
9945,20060001,2,Baja California,BC,6,San Quintín,2_6
10817,30010001,3,Baja California Sur,BCS,1,Comondú,3_1
11788,30020001,3,Baja California Sur,BCS,2,Mulegé,3_2
12406,30030001,3,Baja California Sur,BCS,3,La Paz,3_3
13855,30080001,3,Baja California Sur,BCS,8,Los Cabos,3_8
14587,30090001,3,Baja California Sur,BCS,9,Loreto,3_9
14795,40010001,4,Campeche,Camp.,1,Calkiní,4_1
14961,40020001,4,Campeche,Camp.,2,Campeche,4_2
15389,40030001,4,Campeche,Camp.,3,Carmen,4_3
16776,40040001,4,Campeche,Camp.,4,Champotón,4_4
17344,40050001,4,Campeche,Camp.,5,Hecelchakán,4_5
17409,40060001,4,Campeche,Camp.,6,Hopelchén,4_6
17635,40070001,4,Campeche,Camp.,7,Palizada,4_7
17835,40080001,4,Campeche,Camp.,8,Tenabo,4_8
17900,40090001,4,Campeche,Camp.,9,Escárcega,4_9
18359,40100001,4,Campeche,Camp.,10,Calakmul,4_10
18621,40110001,4,Campeche,Camp.,11,Candelaria,4_11
19654,40120001,4,Campeche,Camp.,12,Seybaplaya,4_12
19710,50010001,5,Coahuila de Zaragoza,Coah.,1,Abasolo,5_1
19751,50020001,5,Coahuila de Zaragoza,Coah.,2,Acuña,5_2
20092,50030001,5,Coahuila de Zaragoza,Coah.,3,Allende,5_3
20248,50040001,5,Coahuila de Zaragoza,Coah.,4,Arteaga,5_4
